No,Nama KKKS,Tahun,Bulan,Jenis Interaksi,Detail Aktivitas,Keterangan,Label
415,Zaratex N.V.,2024,Desember,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
416,Zaratex N.V.,2024,Desember,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
417,Zaratex N.V.,2024,Desember,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
418,Zaratex N.V.,2024,Desember,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
419,Zaratex N.V.,2024,Desember,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
420,Zaratex N.V.,2024,Desember,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
421,Conrad Asia Energy,2025,Januari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
422,Conrad Asia Energy,2025,Januari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
423,Conrad Asia Energy,2025,Januari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
424,Conrad Asia Energy,2025,Januari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
425,Conrad Asia Energy,2025,Januari,Partisipasi,Knowledge Sharing Session,Memberikan edukasi K3LL kepada tim teknis BPMA,Harmonis
426,Conrad Asia Energy,2025,Januari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
427,Conrad Asia Energy,2025,Januari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
428,PT Medco E&P Malaka,2025,Januari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
429,PT Medco E&P Malaka,2025,Januari,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
430,PT Medco E&P Malaka,2025,Januari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
431,PT Medco E&P Malaka,2025,Januari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
432,PT Medco E&P Malaka,2025,Januari,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
433,PT Medco E&P Malaka,2025,Januari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
434,PT Medco E&P Malaka,2025,Januari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
435,PT Pema Global Energi,2025,Januari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
436,PT Pema Global Energi,2025,Januari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
437,PT Pema Global Energi,2025,Januari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
438,PT Pema Global Energi,2025,Januari,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
439,PT Pema Global Energi,2025,Januari,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
440,PT Pema Global Energi,2025,Januari,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
441,PT Pema Global Energi,2025,Januari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
442,Triangle Pase,2025,Januari,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
443,Triangle Pase,2025,Januari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
444,Triangle Pase,2025,Januari,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
445,Triangle Pase,2025,Januari,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
446,Triangle Pase,2025,Januari,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
447,Triangle Pase,2025,Januari,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
448,Triangle Pase,2025,Januari,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
449,Zaratex N.V.,2025,Januari,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
450,Zaratex N.V.,2025,Januari,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
451,Zaratex N.V.,2025,Januari,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
452,Zaratex N.V.,2025,Januari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
453,Zaratex N.V.,2025,Januari,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
454,Zaratex N.V.,2025,Januari,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
455,Zaratex N.V.,2025,Januari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
456,Conrad Asia Energy,2025,Februari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
457,Conrad Asia Energy,2025,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
458,Conrad Asia Energy,2025,Februari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
459,Conrad Asia Energy,2025,Februari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
460,Conrad Asia Energy,2025,Februari,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
461,Conrad Asia Energy,2025,Februari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
462,Conrad Asia Energy,2025,Februari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
463,PT Medco E&P Malaka,2025,Februari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
464,PT Medco E&P Malaka,2025,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
465,PT Medco E&P Malaka,2025,Februari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
466,PT Medco E&P Malaka,2025,Februari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
467,PT Medco E&P Malaka,2025,Februari,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
468,PT Medco E&P Malaka,2025,Februari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
469,PT Medco E&P Malaka,2025,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
470,PT Pema Global Energi,2025,Februari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
471,PT Pema Global Energi,2025,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
472,PT Pema Global Energi,2025,Februari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
473,PT Pema Global Energi,2025,Februari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
474,PT Pema Global Energi,2025,Februari,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
475,PT Pema Global Energi,2025,Februari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
476,PT Pema Global Energi,2025,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
477,Triangle Pase,2025,Februari,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
478,Triangle Pase,2025,Februari,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
479,Triangle Pase,2025,Februari,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
480,Triangle Pase,2025,Februari,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
481,Triangle Pase,2025,Februari,Partisipasi,Program Magang Lokal,Penyerapan tenaga kerja magang dari univ lokal,Harmonis
482,Triangle Pase,2025,Februari,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
483,Triangle Pase,2025,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
484,Zaratex N.V.,2025,Februari,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
485,Zaratex N.V.,2025,Februari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
486,Zaratex N.V.,2025,Februari,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
487,Zaratex N.V.,2025,Februari,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
488,Zaratex N.V.,2025,Februari,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
489,Zaratex N.V.,2025,Februari,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
490,Zaratex N.V.,2025,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
491,Conrad Asia Energy,2025,Maret,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
492,Conrad Asia Energy,2025,Maret,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
493,Conrad Asia Energy,2025,Maret,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
494,Conrad Asia Energy,2025,Maret,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
495,Conrad Asia Energy,2025,Maret,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
496,Conrad Asia Energy,2025,Maret,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
497,Conrad Asia Energy,2025,Maret,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
498,PT Medco E&P Malaka,2025,Maret,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
499,PT Medco E&P Malaka,2025,Maret,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
500,PT Medco E&P Malaka,2025,Maret,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
501,PT Medco E&P Malaka,2025,Maret,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
502,PT Medco E&P Malaka,2025,Maret,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
503,PT Medco E&P Malaka,2025,Maret,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
504,PT Medco E&P Malaka,2025,Maret,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
505,PT Pema Global Energi,2025,Maret,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
506,PT Pema Global Energi,2025,Maret,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
507,PT Pema Global Energi,2025,Maret,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
508,PT Pema Global Energi,2025,Maret,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
509,PT Pema Global Energi,2025,Maret,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
510,PT Pema Global Energi,2025,Maret,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
511,PT Pema Global Energi,2025,Maret,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
512,Triangle Pase,2025,Maret,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
513,Triangle Pase,2025,Maret,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
514,Triangle Pase,2025,Maret,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
515,Triangle Pase,2025,Maret,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
516,Triangle Pase,2025,Maret,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,Harmonis
517,Triangle Pase,2025,Maret,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
518,Triangle Pase,2025,Maret,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
519,Zaratex N.V.,2025,Maret,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
520,Zaratex N.V.,2025,Maret,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
521,Zaratex N.V.,2025,Maret,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
522,Zaratex N.V.,2025,Maret,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
523,Zaratex N.V.,2025,Maret,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,Harmonis
524,Zaratex N.V.,2025,Maret,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
525,Zaratex N.V.,2025,Maret,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
526,Conrad Asia Energy,2025,April,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
527,Conrad Asia Energy,2025,April,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
528,Conrad Asia Energy,2025,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
529,Conrad Asia Energy,2025,April,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
530,Conrad Asia Energy,2025,April,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
531,Conrad Asia Energy,2025,April,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
532,Conrad Asia Energy,2025,April,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
533,PT Medco E&P Malaka,2025,April,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
534,PT Medco E&P Malaka,2025,April,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
535,PT Medco E&P Malaka,2025,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
536,PT Medco E&P Malaka,2025,April,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
537,PT Medco E&P Malaka,2025,April,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
538,PT Medco E&P Malaka,2025,April,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
539,PT Medco E&P Malaka,2025,April,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
540,PT Pema Global Energi,2025,April,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
541,PT Pema Global Energi,2025,April,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
542,PT Pema Global Energi,2025,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
543,PT Pema Global Energi,2025,April,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
544,PT Pema Global Energi,2025,April,Partisipasi,Knowledge Sharing Session,Memberikan edukasi K3LL kepada tim teknis BPMA,Harmonis
545,PT Pema Global Energi,2025,April,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
546,PT Pema Global Energi,2025,April,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
547,Triangle Pase,2025,April,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
548,Triangle Pase,2025,April,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
549,Triangle Pase,2025,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
550,Triangle Pase,2025,April,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
551,Triangle Pase,2025,April,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
552,Triangle Pase,2025,April,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
553,Triangle Pase,2025,April,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
554,Zaratex N.V.,2025,April,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
555,Zaratex N.V.,2025,April,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
556,Zaratex N.V.,2025,April,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
557,Zaratex N.V.,2025,April,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
558,Zaratex N.V.,2025,April,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
559,Zaratex N.V.,2025,April,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
560,Zaratex N.V.,2025,April,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
561,Conrad Asia Energy,2025,Mei,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
562,Conrad Asia Energy,2025,Mei,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
563,Conrad Asia Energy,2025,Mei,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
564,Conrad Asia Energy,2025,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
565,Conrad Asia Energy,2025,Mei,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
566,Conrad Asia Energy,2025,Mei,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
567,Conrad Asia Energy,2025,Mei,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
568,PT Medco E&P Malaka,2025,Mei,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
569,PT Medco E&P Malaka,2025,Mei,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
570,PT Medco E&P Malaka,2025,Mei,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
571,PT Medco E&P Malaka,2025,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
572,PT Medco E&P Malaka,2025,Mei,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
573,PT Medco E&P Malaka,2025,Mei,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
574,PT Medco E&P Malaka,2025,Mei,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
575,PT Pema Global Energi,2025,Mei,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
576,PT Pema Global Energi,2025,Mei,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
577,PT Pema Global Energi,2025,Mei,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
578,PT Pema Global Energi,2025,Mei,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
579,PT Pema Global Energi,2025,Mei,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
580,PT Pema Global Energi,2025,Mei,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
581,PT Pema Global Energi,2025,Mei,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
582,Triangle Pase,2025,Mei,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
583,Triangle Pase,2025,Mei,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
584,Triangle Pase,2025,Mei,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
585,Triangle Pase,2025,Mei,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
586,Triangle Pase,2025,Mei,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
587,Triangle Pase,2025,Mei,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
588,Triangle Pase,2025,Mei,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
589,Zaratex N.V.,2025,Mei,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
590,Zaratex N.V.,2025,Mei,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
591,Zaratex N.V.,2025,Mei,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
592,Zaratex N.V.,2025,Mei,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
593,Zaratex N.V.,2025,Mei,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
594,Zaratex N.V.,2025,Mei,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
595,Zaratex N.V.,2025,Mei,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
596,Conrad Asia Energy,2025,Juni,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
597,Conrad Asia Energy,2025,Juni,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
598,Conrad Asia Energy,2025,Juni,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
599,Conrad Asia Energy,2025,Juni,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
600,Conrad Asia Energy,2025,Juni,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
601,Conrad Asia Energy,2025,Juni,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
602,Conrad Asia Energy,2025,Juni,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
603,PT Medco E&P Malaka,2025,Juni,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
604,PT Medco E&P Malaka,2025,Juni,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
605,PT Medco E&P Malaka,2025,Juni,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
606,PT Medco E&P Malaka,2025,Juni,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
607,PT Medco E&P Malaka,2025,Juni,Partisipasi,Knowledge Sharing Session,Memberikan edukasi K3LL kepada tim teknis BPMA,Harmonis
608,PT Medco E&P Malaka,2025,Juni,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
609,PT Medco E&P Malaka,2025,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
610,PT Pema Global Energi,2025,Juni,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
611,PT Pema Global Energi,2025,Juni,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
612,PT Pema Global Energi,2025,Juni,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
613,PT Pema Global Energi,2025,Juni,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
614,PT Pema Global Energi,2025,Juni,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,Harmonis
615,PT Pema Global Energi,2025,Juni,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
616,PT Pema Global Energi,2025,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
617,Triangle Pase,2025,Juni,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
618,Triangle Pase,2025,Juni,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
619,Triangle Pase,2025,Juni,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
620,Triangle Pase,2025,Juni,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
621,Triangle Pase,2025,Juni,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,Harmonis
